strategy,side,split,cost_bps,horizon,n,median_return,mean_return,hit_rate
fresh_stack,short,train,30,20,518,0.042547173447854914,0.03605792012655901,0.6003861003861004
fresh_stack,short,train,30,30,518,0.09308767071494634,0.04008416555350019,0.640926640926641
fresh_stack,short,train,60,1,518,-0.007962278273641371,-0.008370571068385776,0.3841698841698842
fresh_stack,short,train,60,3,518,-0.0032334138484934553,-0.0019910989871821058,0.47876447876447875
fresh_stack,short,train,60,5,518,0.012945133822805049,0.009359806199641402,0.5521235521235521
fresh_stack,short,train,60,10,518,0.018013303769401308,0.000999105610484996,0.5540540540540541
fresh_stack,short,train,60,20,518,0.03954717344785492,0.033057920126559,0.5888030888030888
fresh_stack,short,train,60,30,518,0.09008767071494633,0.03708416555350019,0.637065637065637
pullback_recapture,long,test,20,1,98,-0.0037377050339333345,-0.01830768427971878,0.22448979591836735
pullback_recapture,long,test,20,3,98,-0.0022948777578404283,-0.018376377197509647,0.336734693877551
pullback_recapture,long,test,20,5,98,-0.0021947457881416037,-0.017902226598059613,0.3673469387755102
pullback_recapture,long,test,20,10,98,-0.008441487586283268,-0.030388153762019865,0.30612244897959184
pullback_recapture,long,test,20,20,98,-0.03918104640199299,-0.037769114126084434,0.21428571428571427
pullback_recapture,long,test,20,30,98,-0.051666354861340746,-0.039623573835675045,0.21428571428571427
pullback_recapture,long,test,30,1,98,-0.0047377050339333345,-0.019307684279718778,0.21428571428571427
pullback_recapture,long,test,30,3,98,-0.0032948777578404283,-0.019376377197509648,0.32653061224489793
pullback_recapture,long,test,30,5,98,-0.0031947457881416038,-0.018902226598059613,0.336734693877551
pullback_recapture,long,test,30,10,98,-0.009441487586283267,-0.031388153762019866,0.30612244897959184
pullback_recapture,long,test,30,20,98,-0.04018104640199299,-0.038769114126084435,0.21428571428571427
pullback_recapture,long,test,30,30,98,-0.05266635486134075,-0.040623573835675046,0.21428571428571427
pullback_recapture,long,test,60,1,98,-0.0077377050339333345,-0.022307684279718777,0.19387755102040816
pullback_recapture,long,test,60,3,98,-0.006294877757840428,-0.02237637719750965,0.32653061224489793
pullback_recapture,long,test,60,5,98,-0.006194745788141604,-0.021902226598059616,0.32653061224489793
pullback_recapture,long,test,60,10,98,-0.012441487586283268,-0.03438815376201986,0.30612244897959184
pullback_recapture,long,test,60,20,98,-0.04318104640199299,-0.04176911412608443,0.20408163265306123
pullback_recapture,long,test,60,30,98,-0.05566635486134074,-0.04362357383567504,0.21428571428571427
pullback_recapture,long,train,20,1,294,-0.008678985677250948,-0.009416064925290308,0.4013605442176871
pullback_recapture,long,train,20,3,294,-0.019293832796132726,-0.0320118494092409,0.3469387755102041
pullback_recapture,long,train,20,5,294,-0.04725689533382971,-0.05768729195385739,0.2925170068027211
pullback_recapture,long,train,20,10,294,-0.042661373223560284,-0.055293429087111455,0.32653061224489793
pullback_recapture,long,train,20,20,294,-0.07830142479490942,-0.09427508110206313,0.25170068027210885
pullback_recapture,long,train,20,30,294,-0.11834093662750889,-0.12189515162108519,0.23809523809523808
pullback_recapture,long,train,30,1,294,-0.009678985677250947,-0.01041606492529031,0.3843537414965986
pullback_recapture,long,train,30,3,294,-0.020293832796132723,-0.0330118494092409,0.3401360544217687
pullback_recapture,long,train,30,5,294,-0.04825689533382971,-0.058687291953857405,0.2755102040816326
pullback_recapture,long,train,30,10,294,-0.043661373223560285,-0.05629342908711146,0.3197278911564626
pullback_recapture,long,train,30,20,294,-0.07930142479490943,-0.09527508110206312,0.23809523809523808
pullback_recapture,long,train,30,30,294,-0.11934093662750889,-0.1228951516210852,0.22789115646258504
pullback_recapture,long,train,60,1,294,-0.012678985677250948,-0.01341606492529031,0.35374149659863946
pullback_recapture,long,train,60,3,294,-0.023293832796132723,-0.036011849409240904,0.3197278911564626
pullback_recapture,long,train,60,5,294,-0.051256895333829704,-0.061687291953857415,0.2585034013605442
pullback_recapture,long,train,60,10,294,-0.04666137322356028,-0.059293429087111466,0.3163265306122449
pullback_recapture,long,train,60,20,294,-0.08230142479490943,-0.09827508110206312,0.22789115646258504
pullback_recapture,long,train,60,30,294,-0.12234093662750889,-0.12589515162108522,0.22108843537414966
pullback_recapture,short,test,20,1,668,0.0017666829009783686,0.004170047995128501,0.5239520958083832
pullback_recapture,short,test,20,3,668,0.005331406599272727,0.0041707643274367275,0.5374251497005988
pullback_recapture,short,test,20,5,668,0.012019594707074146,0.017124674704352374,0.5658682634730539
pullback_recapture,short,test,20,10,668,0.02558182143353932,0.028324731492503814,0.594311377245509
pullback_recapture,short,test,20,20,668,0.059657530102999234,0.05661453460087513,0.6661676646706587
pullback_recapture,short,test,20,30,668,0.07128402925988475,0.08107699470368114,0.6437125748502994
pullback_recapture,short,test,30,1,668,0.0007666829009783686,0.0031700479951285005,0.5119760479041916
pullback_recapture,short,test,30,3,668,0.004331406599272727,0.0031707643274367266,0.5329341317365269
pullback_recapture,short,test,30,5,668,0.011019594707074146,0.016124674704352377,0.5583832335329342
pullback_recapture,short,test,30,10,668,0.024581821433539323,0.02732473149250382,0.5868263473053892
pullback_recapture,short,test,30,20,668,0.058657530102999234,0.05561453460087513,0.6646706586826348
pullback_recapture,short,test,30,30,668,0.07028402925988475,0.08007699470368115,0.6392215568862275
pullback_recapture,short,test,60,1,668,-0.0022333170990216315,0.00017004799512850075,0.47005988023952094
pullback_recapture,short,test,60,3,668,0.0013314065992727272,0.00017076432743672618,0.5074850299401198
pullback_recapture,short,test,60,5,668,0.008019594707074145,0.013124674704352371,0.5419161676646707
pullback_recapture,short,test,60,10,668,0.021581821433539324,0.024324731492503818,0.5733532934131736
pullback_recapture,short,test,60,20,668,0.05565753010299924,0.052614534600875125,0.655688622754491
pullback_recapture,short,test,60,30,668,0.06728402925988475,0.07707699470368115,0.6317365269461078
pullback_recapture,short,train,20,1,568,-0.006224975010709842,-0.006270566899253071,0.3996478873239437
pullback_recapture,short,train,20,3,568,-0.0010304259972226375,-0.0014692236165851982,0.49295774647887325
pullback_recapture,short,train,20,5,568,0.019670326266029214,0.014491652215620817,0.5897887323943662
pullback_recapture,short,train,20,10,568,0.01776467267219317,-0.012220276832100821,0.5545774647887324
pullback_recapture,short,train,20,20,568,0.03281876507914128,0.02329130485836674,0.5563380281690141
pullback_recapture,short,train,20,30,568,0.07103273594637421,0.031602801813787766,0.6056338028169014
pullback_recapture,short,train,30,1,568,-0.007224975010709842,-0.007270566899253071,0.3890845070422535
pullback_recapture,short,train,30,3,568,-0.0020304259972226376,-0.002469223616585199,0.4894366197183099
pullback_recapture,short,train,30,5,568,0.018670326266029217,0.013491652215620814,0.5880281690140845
pullback_recapture,short,train,30,10,568,0.016764672672193174,-0.01322027683210082,0.5545774647887324
pullback_recapture,short,train,30,20,568,0.031818765079141276,0.02229130485836674,0.551056338028169
pullback_recapture,short,train,30,30,568,0.07003273594637421,0.030602801813787772,0.6056338028169014
pullback_recapture,short,train,60,1,568,-0.010224975010709842,-0.010270566899253071,0.3503521126760563
pullback_recapture,short,train,60,3,568,-0.005030425997222638,-0.005469223616585201,0.47007042253521125
pullback_recapture,short,train,60,5,568,0.015670326266029218,0.010491652215620813,0.5721830985915493
pullback_recapture,short,train,60,10,568,0.013764672672193173,-0.01622027683210082,0.5440140845070423
pullback_recapture,short,train,60,20,568,0.02881876507914128,0.019291304858366738,0.5475352112676056
pullback_recapture,short,train,60,30,568,0.06703273594637421,0.027602801813787766,0.5985915492957746
