strategy,side,split,horizon,n,mean_return,median_return,hit_rate,p25,p75,median_mfe_20d,median_mae_20d
cross_7_30_regime,long,train,3,99,-0.037002060697894384,-0.02109854851031312,0.30303030303030304,-0.09729940290897432,0.0024181844837161143,0.07647118403727338,-0.17736524603974546
cross_7_30_regime,long,train,5,99,-0.04025683271920858,-0.03387390542907187,0.2828282828282828,-0.09568502033875065,0.0034644177204183908,0.07647118403727338,-0.17736524603974546
cross_7_30_regime,long,train,10,99,-0.02373855674187096,-0.02358866183256414,0.36363636363636365,-0.11666613775533013,0.05352922040688157,0.07647118403727338,-0.17736524603974546
cross_7_30_regime,long,train,20,99,-0.08694127741165655,-0.09960589318600355,0.2727272727272727,-0.18397323971649998,0.012933187498299194,0.07647118403727338,-0.17736524603974546
cross_7_30_regime,long,train,30,99,-0.11575002458125766,-0.079206435122538,0.2828282828282828,-0.30602683426348526,0.006516195774530999,0.07647118403727338,-0.17736524603974546
cross_7_30_regime,short,test,1,259,0.0011538855990634682,0.0013594624860022737,0.5173745173745173,-0.015833361787390032,0.026066043326178845,0.21070693205216207,-0.07183580387685295
cross_7_30_regime,short,test,3,259,0.011041723652666893,0.014088060965283812,0.5907335907335908,-0.01943564942389142,0.047712154284804464,0.21070693205216207,-0.07183580387685295
cross_7_30_regime,short,test,5,259,0.02422791494077294,0.0200706260032103,0.6525096525096525,-0.017538637563809134,0.06748552367807026,0.21070693205216207,-0.07183580387685295
cross_7_30_regime,short,test,10,259,0.04365637169963515,0.04529534569214244,0.6447876447876448,-0.02871015241671071,0.11169144814323834,0.21070693205216207,-0.07183580387685295
cross_7_30_regime,short,test,20,259,0.10291095410131873,0.13448994109147494,0.7258687258687259,-0.0029604267987616267,0.2472349090762121,0.21070693205216207,-0.07183580387685295
cross_7_30_regime,short,test,30,259,0.09947461617735925,0.14486902485659658,0.6833976833976834,-0.020838581332054296,0.26752046508980154,0.21070693205216207,-0.07183580387685295
cross_7_30_regime,short,train,1,348,0.00421137315596471,0.00011180093378804386,0.5,-0.02736614451994379,0.03990316072776387,0.1481212938441105,-0.11831129743093627
cross_7_30_regime,short,train,3,348,0.01670448879039053,0.014456633205748472,0.5862068965517241,-0.03806791392795511,0.07158189785951144,0.1481212938441105,-0.11831129743093627
cross_7_30_regime,short,train,5,348,0.0111340945856447,0.014554146127974567,0.5603448275862069,-0.041683685904571055,0.07768138138848318,0.1481212938441105,-0.11831129743093627
cross_7_30_regime,short,train,10,348,0.02001392457837223,0.010492120776891546,0.5373563218390804,-0.06058207973045898,0.11014364866156953,0.1481212938441105,-0.11831129743093627
cross_7_30_regime,short,train,20,348,0.03807667913086346,0.048393832746773946,0.6637931034482759,-0.019673666234764964,0.12992706441883398,0.1481212938441105,-0.11831129743093627
cross_7_30_regime,short,train,30,348,0.06580942019273159,0.053681352090759527,0.6896551724137931,-0.02404169078238938,0.17957824832450428,0.1481212938441105,-0.11831129743093627
fresh_stack,long,test,1,59,0.008560903722187398,-0.002,0.3389830508474576,-0.01020366120769045,0.006509333936897345,0.04730749874182183,-0.06212485941800572
fresh_stack,long,test,3,59,0.014119435076068582,-0.002099870168780547,0.3898305084745763,-0.030498172099210796,0.00567563846099617,0.04730749874182183,-0.06212485941800572
fresh_stack,long,test,5,59,0.005405927979379677,-0.002199740337561094,0.3559322033898305,-0.030577833956821954,0.013355980652996037,0.04730749874182183,-0.06212485941800572
fresh_stack,long,test,10,59,-0.014621177834618032,-0.0027002801120448155,0.3220338983050847,-0.0907942103113703,0.012142387361713693,0.04730749874182183,-0.06212485941800572
fresh_stack,long,test,20,59,0.004494120383523054,-0.005574772321048636,0.2542372881355932,-0.1006907152944046,-0.00039065720560904453,0.04730749874182183,-0.06212485941800572
fresh_stack,long,test,30,59,0.008481911920160103,-0.012289990645463099,0.23728813559322035,-0.176640832568004,-0.0012999597920703137,0.04730749874182183,-0.06212485941800572
fresh_stack,long,train,1,176,-0.0057061336471274145,-0.009815889401199816,0.39204545454545453,-0.03403869304211887,0.013366375719524206,0.07243217496929322,-0.17602898765928138
fresh_stack,long,train,3,176,-0.03269575469079476,-0.024626804350991904,0.30113636363636365,-0.07542662943401257,0.006391012362621519,0.07243217496929322,-0.17602898765928138
fresh_stack,long,train,5,176,-0.04685113218343577,-0.03593741218252822,0.2840909090909091,-0.10652352878121993,0.005482250115916078,0.07243217496929322,-0.17602898765928138
fresh_stack,long,train,10,176,-0.06244350270699925,-0.05950450487918624,0.26704545454545453,-0.15130734661549508,0.002418856840432861,0.07243217496929322,-0.17602898765928138
fresh_stack,long,train,20,176,-0.0852926597223926,-0.0762005290363908,0.26704545454545453,-0.1946654285638664,0.010480487027765386,0.07243217496929322,-0.17602898765928138
